policy_id,ref_num,url,error,file_type,expected_filename,saved
211000126,1,https://www.sandia.gov/ess-ssl/EESAT/2005_papers/Smedley.pdf,,pdf,211000126_ref1,True
211000127,1,https://www.pnnl.gov/main/publications/external/technical_reports/PNNL-16250.pdf,,pdf,211000127_ref1,True
211000128,1,http://www.oe.energy.gov/storage.htm,404 Client Error: Not Found for url: https://www.energy.gov/oe/office-electricity/storage.htm,,211000128_ref1,False
211000129,1,https://www.sandia.gov/ess-ssl/publications/SAND2002-1314.pdf,,pdf,211000129_ref1,True
211000130,1,https://www.irs.gov/newsroom/alternative-motor-vehicle-credit,,html,211000130_ref1,True
211000131,1,https://www.iea.org/policies/1696-advanced-manufacturing-office-industrial-distributed-energy?page=3&region=North%20America&type=Obligation%20schemes%2CStrategic%20planning%2CDemonstration%2CGrants%2Fsubsidy%2CCirculation%20tax,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/1696-advanced-manufacturing-office-industrial-distributed-energy?page=3&region=North%20America&type=Obligation%20schemes%2CStrategic%20planning%2CDemonstration%2CGrants%2Fsubsidy%2CCirculation%20tax,,211000131_ref1,False
211000132,1,https://www.iea.org/policies/2713-advanced-propulsion-centre?country=United%20Kingdom&qs=united,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/2713-advanced-propulsion-centre?country=United%20Kingdom&qs=united,,211000132_ref1,False
211000133,1,https://fas.org/sgp/crs/misc/R42064.pdf,404 Client Error: Not Found for url: https://fas.org/sgp/crs/misc/R42064.pdf,,211000133_ref1,False
211000134,1,https://www.energy.gov/eere/vehicles/advanced-vehicle-testing-activity-avta-data-and-results,,html,211000134_ref1,True
211000136,1,https://www.iea.org/policies/2206-affordable-warmth-scheme?country=United%20Kingdom&page=4&qs=united,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/2206-affordable-warmth-scheme?country=United%20Kingdom&page=4&qs=united,,211000136_ref1,False
211000137,1,http://unfccc.int/resource/docs/natc/usa_nc5.pdf,,pdf,211000137_ref1,True
211000137,2,http://www.epa.gov/agstar/,,html,211000137_ref2,True
211000138,1,https://www.diputados.gob.mx/LeyesBiblio/pdf/LAgra.pdf,,pdf,211000138_ref1,True
211000139,1,https://agriculture.gouv.fr/sites/default/files/cep_analysis73_french_agriculture_and_the_challenge_of_climate_change.pdf,,pdf,211000139_ref1,True
211000140,1,https://www.iea.org/policies/80-agreement-with-industry-on-co2-emissions-cuts?country=Germany&page=6,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/80-agreement-with-industry-on-co2-emissions-cuts?country=Germany&page=6,,211000140_ref1,False
211000141,1,http://unfccc.int/resource/docs/natc/argbur1.pdf,,pdf,211000141_ref1,True
